No;Title;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
107;Analog processor comprising quantum devices;"MAASSEN DEN BRINK ALEC VAN [CA] 
PETER LOVE [CA] 
GEORDIE ROSE [CA] 
DAVID GRANT [CA] 
PAUL BUNYK [CA] 
MAASSEN DEN BRINK ALEC VAN 
PETER LOVE 
AMIN MOHAMMED H S 
GEORDIE ROSE 
DAVID GRANT 
STEININGER MILES F H 
PAUL BUNYK";"DWAVE SYS INC [CA] 
DWAVE SYS INC";"CN100585629C 
CN101088102A";2004-12-23;"G06G7/12 
G06J3/00 
G06N99/00 
H01L39/22";;"2007-12-12 
2010-01-27";2007-12-12;038938260
108;Methods for quantum processing;"HILTON JEREMY P [CA] 
LING YUTIAN [CA]";DWAVE SYS INC [CA];US7613764B1;2004-03-26;G06G7/00;"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";2009-11-03;2009-11-03;041227502
109;GENERATING MIXED STATES AND FINITE-TEMPERATURE EQUILIBRIUM STATES OF QUANTUM SYSTEMS;VERDON-AKZAM GUILLAUME [CA];"X DEV LLC [US] 
VERDON AKZAM GUILLAUME [CA]";WO2021062357A1;2019-09-27;"G06N10/00 
G06N20/00 
G06N3/04 
G06N7/00";"G06F15/16 (US) 
G06N10/00 (EP,US) 
G06N20/00 (EP) 
G06N3/04 (EP) 
G06N7/005 (EP)";2021-04-01;2021-04-01;072896088
110;METHOD AND SYSTEM FOR THE GENERATION AND CONTROL OF HIGH-DIMENSIONAL MULTI-PARTITE QUANTUM STATES;"KUES MICHAEL [DE] 
REIMER CHRISTIAN [DE] 
SCIARA STEFANIA [CA] 
ROZTOCKI PIOTR [CA] 
ROMERO CORTÉS LUIS [ES] 
AZANA JOSÉ [CA] 
JESTIN YOANN [CA] 
MORANDOTTI ROBERTO [CA]";"INST NAT RECH SCIENT [CA] 
UNIV GLASGOW COURT [GB]";WO2019104426A1;2017-11-29;"B82Y10/00 
G02F1/35 
G06N10/00 
G06N99/00 
G99Z99/00";"B82Y20/00 (EP) 
G02F1/00 (EP) 
G02F1/365 (US) 
G06N10/00 (EP,US) 
B82Y10/00 (EP)";2019-06-06;2019-06-06;066663677
111;ANALOG PROCESSOR COMPRISING QUANTUM DEVICES;"JOHNSON MARK W [CA] 
BUNYK PAUL I [CA]";DWAVE SYS INC [CA];"US2007174227A1 
US7624088B2";2005-08-03;"G06F15/18 
G06N5/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2007-07-26 
2009-11-24";2007-07-26;038286723
112;Computer System and Method for Implementing a Conditional Reflection Operator on a Quantum Computer;DALLAIRE-DEMERS PIERRE-LUC [CA];ZAPATA COMPUTING INC [US];US2021073668A1;2019-09-06;"G06N10/00 
H01L29/423 
H01L29/66";"G06N10/00 (EP,US) 
H01L29/423 (US) 
H01L29/66977 (US)";2021-03-11;2021-03-11;072613996
113;Hybrid Quantum-Classical Computer for Packing Bits into Qubits for Quantum Optimization Algorithms;"JOHNSON PETER D [US] 
KIEFEROVA MARIA [CA] 
RADIN MAX [US]";ZAPATA COMPUTING INC [US];US2020160204A1;2018-11-21;"G06F15/16 
G06N10/00";"G06F17/14 (US) 
G06N10/00 (EP,US) 
G06N5/003 (EP)";2020-05-21;2020-05-21;070727979
114;Coupling methods and architectures for information processing;"MURRAY THOM [CA] 
MAASSE DEN BRINK ALEXANDER VAN [CA] 
MURRAY THOM 
BERKLEY ANDREW J 
MAASSE DEN BRINK ALEXANDER VAN";"DWAVE SYS INC [CA] 
DWAVE SYS INC";"CN101095245A 
CN101095245B";2004-12-30;"H01F37/00 
H01L39/22";"G06N10/00 (EP,US) 
G06N99/00 (KR) 
H01F37/00 (KR) 
H01L39/22 (KR)";"2007-12-26 
2011-09-21";2006-07-06;036614440
115;QUANTUM REPEATER FROM QUANTUM ANALOG-DIGITAL INTERCONVERTER;AKZAM GUILLAME VERDON [CA];X DEV LLC [US];US2021103847A1;2019-10-04;"G06N10/00 
H03M1/12 
H03M1/66 
H04B10/70";"G06N10/00 (US) 
G06N10/20 (EP) 
G06N10/40 (EP) 
H03M1/12 (US) 
H03M1/66 (US) 
H04B10/70 (EP,US) 
H03M1/12 (EP) 
H03M1/66 (EP)";2021-04-08;2021-04-08;075275193
116;METHOD OF PERFORMING A QUANTUM COMPUTATION;"CHOQUETTE-POITEVIN ALEXANDRE [CA] 
DI PAOLO AGUSTIN [CA] 
BLAIS ALEXANDRE [CA]";SOCPRA SCIENCES ET GENIE SEC [CA];WO2021203202A1;2020-04-09;G06N10/00;"G06N10/20 (EP) 
G06N10/60 (EP) 
G06N5/003 (EP)";2021-10-14;2021-10-14;078022379
117;Superconducting quantum interference device;"WILLIAMS DAVID [GB] 
HASKO DAVID [GB] 
HUTCHINSON GREGORY [CA] 
QIN HUA [US]";HITACHI LTD [JP];EP1884791A1;2006-07-31;G01R33/035;"G01R33/035 (EP) 
G01R33/0358 (EP)";2008-02-06;2008-02-06;037487844
118;QUANTUM PROCESSOR WITH INSTANCE PROGRAMMABLE QUBIT CONNECTIVITY;"BUNYK PAUL I [CA] 
AMIN MOHAMMAD H S [CA] 
HARRIS RICHARD G [CA] 
LANTING TREVOR MICHAEL [CA] 
JOHNSON MARK W [CA] 
HILTON JEREMY P [CA] 
HOSKINSON EMILE M [CA]";D-WAVE SYSTEMS INC [CA];"US2016335558A1 
US9710758B2";2014-04-23;"G06F15/82 
G06N99/00";"G06F15/82 (US) 
G06N10/00 (EP,US)";"2016-11-17 
2017-07-18";2016-11-17;057277599
119;Distributive networks of groups of moveable autonomous devices;SHIH JEANNE LOUISE [CA];SHIH JEANNE LOUISE [CA];US2018267539A1;2017-03-17;"G05D1/00 
G06N7/00 
G06N99/00";"G05D1/0295 (EP,US) 
G06N10/00 (US) 
G06N3/008 (EP,US) 
G06Q20/00 (US) 
G06N5/003 (EP,US)";2018-09-20;2018-09-20;063520669
120;SYSTEM AND METHOD FOR SIMULATING AND ANALYZING QUANTUM CIRCUITS;"POND JAMES FREDERICK [CA] 
YOUNG JEFFREY FRANCIS [CA] 
SCHELEW ELLEN NATALIE [CA] 
YAN XIRUO [CA]";ANSYS LUMERICAL IP INC [DE];US2020327269A1;2018-09-04;"G06F30/25 
G06F30/3308 
G06F30/337 
G06N10/00 
H04B10/70";"G06F30/25 (US) 
G06F30/3308 (US) 
G06F30/337 (US) 
G06N10/00 (EP,US) 
H04B10/70 (US) 
G06F2101/14 (US) 
G06F2111/12 (US) 
G06F30/30 (EP) 
G06F30/33 (EP) 
G06N7/005 (EP)";2020-10-15;2020-03-12;069722699
121;METHOD OF SIMULATING A QUANTUM COMPUTATION, SYSTEM FOR SIMULATING A QUANTUM COMPUTATION, METHOD FOR ISSUING A COMPUTATIONAL KEY, SYSTEM FOR ISSUING A COMPUTATIONAL KEY;"RAUSSENDORF ROBERT [CA] 
ZUREL MICHAEL OWEN [CA] 
OKAY CIHAN [TR]";UNIV BRITISH COLUMBIA [CA];WO2021195783A1;2020-04-03;G06N10/00;"G06N10/20 (EP) 
G06N10/70 (EP)";2021-10-07;2021-10-07;077927810
122;SYSTEMS, METHODS, AND APPARATUS FOR A DISTRIBUTED NETWORK OF QUANTUM COMPUTERS;"ROSE GEORDIE [CA] 
DANTSKER EUGENE [US]";;US2009070402A1;2007-09-11;G06F15/16;"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";2009-03-12;2009-03-12;040433031
123;METHOD AND SYSTEM FOR MATCHING USERS SERENDIPITOUSLY BASED ON A QUANTUM PROCESSING UNIT;SHIH JEANNE LOUISE [CA];SHIH JEANNE LOUISE [CA];US2017147695A1;2015-11-22;"G06F17/30 
H04L29/08";"H04L67/53 (US) 
H04L67/535 (EP,US) 
H04W4/21 (EP,US)";2017-05-25;2017-05-25;058721685
124;SYSTEMS AND METHODS FOR CREATING AND USING QUANTUM BOLTZMANN MACHINES;"AMIN MOHAMMAD H S [CA] 
ANDRIYASH EVGENY [CA] 
ROLFE JASON [CA]";D-WAVE SYSTEMS INC [CA];WO2017066695A1;2015-10-16;"G06N99/00 
B82Y10/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
G06N20/00 (EP,US) 
G06N3/0445 (EP,US) 
G06N3/0472 (EP) 
G06N3/088 (EP)";2017-04-20;2017-04-20;058518404
125;SYSTEMS, METHODS, AND APPARATUS FOR AUTOMATIC IMAGE RECOGNITION;ROSE GEORDIE [CA];"ROSE GEORDIE [CA] 
DWAVE SYS INC [CA]";"US2008260257A1 
US8073808B2";2007-04-19;"G06K9/46 
G06N99/00 
G06F15/00 
G06F15/18";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
G06V10/94 (EP,US) 
G06V30/1988 (EP,US)";"2008-10-23 
2011-12-06";2008-10-23;039872241
126;RYDBERG EXCITON QUANTUM SIMULATOR;"HESHAMI KHABAT [CA] 
TAYLOR JACOB [CA]";NAT RES COUNCIL CANADA [CA];WO2021003580A1;2019-07-11;"B82Y20/00 
G02B1/00 
G06E3/00 
G06N10/00";"G02B1/00 (EP) 
G06N10/00 (EP) 
B82Y10/00 (EP)";2021-01-14;2021-01-14;074113521
127;STORAGE AND TRANSDUCTION OF QUANTUM INFORMATION;"SIMMONS STEPHANIE [CA] 
MACQUARRIE EVAN [CA]";PHOTONIC INC [CA];WO2022020951A1;2020-07-28;"B82Y10/00 
G06N10/00 
G11C11/44 
G11C13/04 
H01L39/12";"B82Y10/00 (EP) 
G06N10/00 (EP) 
G11C11/44 (EP) 
G11C13/04 (EP) 
H01L39/12 (EP)";2022-02-03;2022-02-03;080037359
128;CHARACTERIZATION AND MEASUREMENT OF SUPERCONDUCTING STRUCTURES;"ZAGOSKIN ALEXANDRE M [CA] 
IL ICHEV EVGENI [DE] 
GRAJCAR MIROSLAV [SK] 
STEININGER MILES F H [CA]";DWAVE SYS INC [CA];CA2470845A1;2001-12-18;"G01R33/00 
G06N1/00 
H01L39/22 
G01R33/035 
G06F7/48 
G06N99/00 
H01L27/18 
H01L39/22";"B82Y10/00 (EP,US) 
G01R33/0358 (EP,US) 
G06N10/00 (EP,US) 
H01L27/18 (EP,US) 
Y10S977/933 (EP,US)";2003-06-26;2003-06-26;023339795
129;QUANTUM ANALOG-DIGITAL INTERCONVERSION FOR ENCODING AND DECODING QUANTUM SIGNALS;VERDON-AKZAM GUILLAUME [CA];X DEV LLC [US];"US11308415B2 
US2021103848A1";2019-10-04;"G06F17/14 
G06N10/00 
H03M1/12 
H03M1/66";"G06F17/14 (US) 
G06N10/00 (EP,US) 
H03M1/1245 (US) 
H03M1/66 (US)";"2021-04-08 
2022-04-19";2021-04-08;073452260
130;Trilayer heterostructure josephson junctions;"TZALENCHUK ALEXANDER YA [GB] 
IVANOV ZDRAVKO G [SE] 
STEININGER MILES F H [CA]";"DWAVE SYS INC [US] 
DWAVE SYS INC [CA]";"US2003042481A1 
US6753546B2";2001-08-29;"H01L31/0256 
H01L29/06 
G06N99/00 
H01L39/22";"B82Y10/00 (EP) 
G06N10/00 (EP) 
H01L39/225 (EP)";"2003-03-06 
2004-06-22";2003-03-06;026676058
131;SYSTEMS, DEVICES, AND METHODS FOR CONTROLLABLY COUPLING QUBITS;"HARRIS RICHARD G [CA] 
BERKLEY ANDREW J [CA]";DWAVE SYS INC [CA];"US2010148853A1 
US7898282B2";2005-04-26;"H03K3/38 
H03K19/195";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2010-06-17 
2011-03-01";2010-06-17;042239757
132;Spin-orbit qubit using quantum dots;"JOCK RYAN MICHAEL [US] 
RUDOLPH MARTIN [US] 
BACZEWSKI ANDREW DAVID [US] 
WITZEL WAYNE [US] 
CARROLL MALCOM S [US] 
HARVEY-COLLARD PATRICK [CA] 
GAMBLE IV JOHN KING [US] 
JACOBSON NOAH TOBIAS [US] 
MOUNCE ANDREW [US] 
WARD DANIEL ROBERT [US]";NAT TECH & ENG SOLUTIONS SANDIA LLC [US];US10482388B1;2018-06-29;"G06N10/00 
H01L39/00 
H01L39/02 
H01L39/12 
H01L39/22 
B82Y10/00";"B82Y10/00 (EP) 
G06N10/00 (EP,US) 
H01L29/045 (EP) 
H01L29/127 (EP) 
H01L29/16 (EP) 
H01L29/423 (EP) 
H01L29/66977 (EP) 
H01L29/66984 (EP) 
H01L29/7613 (EP) 
H01L29/82 (EP) 
H01L39/025 (US) 
H01L39/12 (US) 
H01L39/223 (US) 
B82Y10/00 (US)";2019-11-19;2019-11-19;068536420
133;System and Method for Mitigating Key-Exhaustion in A Key Distribution Protocol;"VERSCHOOR SEBASTIAN REYNALDO [CA] 
MOSCA MICHELE [CA] 
PARRY THOMAS [CA] 
GODFREY JAMES [CA]";EVOLUTIONQ [CA];US2021351917A1;2020-05-06;"H04L9/08 
H04L9/12";"H04L9/0656 (EP) 
H04L9/0819 (US) 
H04L9/0852 (EP,US) 
H04L9/0891 (US) 
H04L9/12 (US)";2021-11-11;2021-11-11;078413360
134;SYSTEMS, METHODS AND APPARATUS FOR ADIABATIC QUANTUM COMPUTATION AND QUANTUM ANNEALING;"AMIN MOHAMMAD [CA] 
CHOI VICKY [US] 
BERKLEY ANDREW J [CA]";"AMIN MOHAMMAD [CA] 
CHOI VICKY [US] 
BERKLEY ANDREW J [CA] 
DWAVE SYS INC [CA]";"US2009299947A1 
US8229863B2";2008-05-28;"G06N7/02 
G06E1/00 
G06N3/12";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2009-12-03 
2012-07-24";2009-12-03;041381005
135;System and Method for Optimizing Quantum Circuit Synthesis;"MOSCA MICHELE [CA] 
MUKHOPADHYAY PRIYANKA [CA]";MOSCA MICHELE [CA];US2021406753A1;2020-06-19;"G06F30/20 
G06N10/00";"G06F30/20 (US) 
G06N10/00 (US) 
G06N10/20 (EP) 
G06F2115/10 (EP,US) 
G06F30/20 (EP)";2021-12-30;2021-12-30;079031049
136;Trilayer heterostructure junctions;"TZALENCHUK ALEXANDER [SE] 
IVANOV ZDRAVKO G [SE] 
STEININGER MILES F H [CA]";;US2003107033A1;2001-12-06;"H01L29/06 
G06N99/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L39/225 (EP,US)";2003-06-12;2003-06-12;021722571
137;LARGE SCALE NANO FIBER EXTRUDER AND USE FOR QUANTUM COMPUTING AND ANY AND ALL USES;VOON GERARD [CA];VOON GERARD [CA];CA2619611A1;2008-02-26;"H01B13/14 
H99Z99/00";"B30B11/22 (EP) 
D01D4/02 (EP) 
D01D5/08 (EP)";2009-08-26;2009-08-26;041010603
138;SYSTEM AND METHOD FOR ENABLING AN ACCESS TO A PHYSICS-INSPIRED COMPUTER AND TO A PHYSICS-INSPIRED COMPUTER SIMULATOR;"RONAGH POOYA [CA] 
MA HAO [CA] 
BEREZUTSKII ALEKSANDR [CA] 
FURSMAN ANDREW BRENDAN [CA] 
SEPEHRY BEHROOZ [CA]";1QB INF TECH INC [CA];US2021166133A1;2019-12-03;"G06F9/30 
G06F9/455 
G06N10/00 
G06N3/04 
G06N3/08 
G06N3/10";"G06F9/30 (US) 
G06F9/455 (US) 
G06N10/00 (US) 
G06N10/20 (EP) 
G06N3/04 (US) 
G06N3/0445 (EP) 
G06N3/0454 (EP) 
G06N3/08 (EP,US) 
G06N3/10 (US) 
G06Q90/205 (EP)";2021-06-03;2021-06-03;076091560
139;SUPERCONDUCTING QUANTUM PROCESSOR AND METHOD OF OPERATING SAME;"HOSKINSON EMILE M [CA] 
LANTING TREVOR MICHAEL [CA]";D WAVE SYSTEMS INC [CA];"US11295225B2 
US2019019099A1";2017-07-07;"G06N99/00 
G06F15/78 
G06N10/00";"G06F15/78 (US) 
G06N10/00 (EP,US)";"2019-01-17 
2022-04-05";2019-01-17;064999068
140;Using a secret generator in an elliptic curve cryptography (ECC) digital signature scheme;"BROWN MICHAEL KENNETH [CA] 
GUTOSKI GUSTAV MICHAEL [CA] 
STRUIK MARINUS [CA] 
YAMADA ATSUSHI [CA]";ISARA CORP [CA];US9800411B1;2016-05-05;"G06F21/64 
G06F21/72 
H04L29/06 
H04L9/30 
H04L9/32 
H04W12/06";"G06F21/64 (EP,US) 
G06F21/72 (EP,US) 
H04L63/0442 (EP,US) 
H04L63/123 (EP,US) 
H04L9/30 (US) 
H04L9/3066 (EP,US) 
H04L9/32 (US) 
H04L9/3252 (EP,US) 
H04W12/06 (US)";2017-10-24;2017-10-24;060082648
141;SYSTEMS AND METHODS EMPLOYING NEW EVOLUTION SCHEDULES IN AN ANALOG COMPUTER WITH APPLICATIONS TO DETERMINING ISOMORPHIC GRAPHS AND POST-PROCESSING SOLUTIONS;"AMIN MOHAMMAD H S [CA] 
JOHNSON MARK W [CA]";"DWAVE SYS INC [CA] 
D WAVE SYSTEMS INC [CA]";"US10769545B2 
US2015363708A1";2014-06-17;"G06F15/78 
G06N99/00 
G06F17/00 
G06N10/00 
G06N5/00";G06N10/00 (EP,US);"2015-12-17 
2020-09-08";2015-12-17;054836443
142;SYSTEMS, DEVICES, AND METHODS FOR CONTROLLABLY COUPLING QUBITS;AMIN MOHAMMAD H [CA];"DWAVE SYS INC [CA] 
AMIN MOHAMMAD H [CA]";WO2009039663A1;2007-09-25;"G06G7/00 
G06N99/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";2009-04-02;2009-03-26;040470669
143;SYSTEMS AND METHODS FOR CREATING AND USING HIGHER DEGREE INTERACTIONS BETWEEN QUANTUM DEVICES;HARRIS RICHARD G [CA];"D-WAVE SYSTEMS INC [CA] 
D-WAVE (COMMERCIAL) INC [US]";WO2017027733A1;2015-08-13;G06N99/00;"B82Y10/00 (US) 
G06N10/00 (US) 
G06N10/20 (EP) 
H01F38/14 (US) 
H01L27/18 (US) 
H03K19/195 (EP,US) 
H01F2038/143 (US)";2017-02-16;2017-02-16;057983648
144;ELLIPTIC CURVE ISOGENY-BASED CRYPTOGRAPHIC SCHEME;SOUKHAREV VLADIMIR [CA];INFOSEC GLOBAL INC [CA];"US10673631B2 
US2018323973A1";2016-11-07;"H04L9/08 
H04L9/30 
G06F7/72";"G06F7/725 (EP,US) 
H04L9/0825 (US) 
H04L9/3066 (EP,US)";"2018-11-08 
2020-06-02";2018-05-07;062104435
145;SYSTEM AND METHOD FOR ANGSTROM CONFINEMENT OF TRAPPED IONS;"MITRA SUSHANTA [CA] 
KIM NA YOUNG [CA] 
GUNDA NAGA SIVA KUMAR [CA] 
WALIA SUNIL [CA] 
WAGEMANN ENRIQUE IGNACIO [CL]";"MITRA SUSHANTA [CA] 
KIM NA YOUNG [CA] 
GUNDA NAGA SIVA KUMAR [CA] 
WALIA SUNIL [CA] 
WAGEMANN ENRIQUE IGNACIO [CL]";"US11202993B2 
US2021308624A1";2020-04-03;"B01D61/42 
G05D7/06 
G06N10/00 
B01L3/00 
B82Y10/00";"B01D61/427 (EP,US) 
B01D67/0062 (EP) 
B01D69/02 (EP) 
B01D71/021 (EP) 
B01L3/50273 (US) 
G05D7/0694 (US) 
G06N10/00 (US) 
B01D2311/2603 (EP) 
B01D2313/50 (EP) 
B01D2325/02 (EP) 
B01L2400/0418 (US) 
B82Y10/00 (EP,US) 
G06N10/40 (EP)";"2021-10-07 
2021-12-21";2021-10-07;077921269
146;THREE-PARTY SUPERSINGULAR ELLIPTIC CURVE CRYPTOGRAPHY KEY AGREEMENT SCHEME;SOUKHAREV VLADIMIR [CA];INFOSEC GLOBAL INC [CA];WO2019056103A1;2017-09-21;"G06F7/72 
H04L9/30";"G06F7/72 (EP) 
H04L9/0838 (EP) 
H04L9/3066 (EP)";2019-03-28;2019-03-28;065810641
147;METHOD AND SYSTEM FOR ESTIMATING TRACE OPERATOR FOR A MACHINE LEARNING TASK;"GHOBADI ROOHOLLAH [CA] 
OBEROI JASPREET S [CA] 
ZAHEDINEJAD EHSAN [CA]";1QB INF TECH INC [CA];US2020349050A1;2019-05-02;"G06F11/34 
G06K9/62 
G06N10/00 
G06N20/10 
G06N3/08";"G06F11/302 (EP) 
G06F11/3058 (EP) 
G06F11/3447 (EP) 
G06F11/3466 (EP,US) 
G06K9/6215 (US) 
G06N10/00 (EP,US) 
G06N20/10 (EP,US) 
G06N3/084 (EP,US)";2020-11-05;2020-11-05;073016505
148;Applying modular reductions in cryptographic protocols;"GUTOSKI GUSTAV MICHAEL [CA] 
KELLY SHANE DANIEL [CA]";ISARA CORP [CA];US9942039B1;2016-09-16;"H04L9/08 
H04L9/30";"G06F5/00 (US) 
G06F7/72 (EP,US) 
H04L9/0852 (EP,US) 
H04L9/3093 (EP,US) 
H04L2209/12 (EP,US) 
H04L2209/24 (US)";2018-04-10;2018-04-10;061801325
149;Sub-flux quantum generator;"OMELYANCHOUK ALEXANDER N [UA] 
SMIRNOV ANATOLY Y [CA]";DWAVE SYS INC [CA];"US2004098443A1 
US6885325B2";2002-05-24;"G06G7/00 
H03M1/00 
G06G7/00 
G06N99/00 
H01L27/18 
H01L39/18 
H01L39/22 
H03M1/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L27/18 (EP,US) 
H01L39/18 (EP,US) 
H01L39/223 (EP,US) 
Y10S977/933 (EP,US)";"2004-05-20 
2005-04-26";2004-05-20;032302354
150;QUANTUM PROCESSOR BASED SYSTEMS AND METHODS THAT MINIMIZE A CONTINUOUS VARIABLE OBJECTIVE FUNCTION;RANJBAR MANI [CA];"DWAVE SYS INC [CA] 
D-WAVE SYSTEMS INC [CA]";"US2014344322A1 
US9424526B2";2013-05-17;"G06F1/02 
G06N99/00 
B82Y10/00 
G06F17/11";"B82Y10/00 (US) 
G06F17/11 (US) 
G06N10/00 (EP,US)";"2014-11-20 
2016-08-23";2014-11-20;051896655
151;METHOD AND SYSTEM FOR ESTIMATING PHYSICAL QUANTITIES OF A PLURALITY OF MODELS USING A SAMPLING DEVICE;"RONAGH POOYA [CA] 
GHADERMARZY NAVID [CA] 
KULCHYTSKYY BOHDAN [CA] 
LEVIT ANNA [CA]";1QB INF TECH INC [CA];US2021287124A1;2020-03-10;"G06N10/00 
G06N7/00";"G06N10/00 (US) 
G06N7/005 (EP,US) 
G06N10/60 (EP)";2021-09-16;2021-09-16;077665039
152;SYSTEMS AND METHODS FOR CANCELLATION OF CROSSTALK;"WINICK ADAM B [CA] 
WALLMAN JOEL J [CA]";QUANTUM BENCHMARK INC [CA];WO2021056115A1;2019-09-26;"B82Y10/00 
G06N10/00 
H01L39/00 
H03K17/92";"G06N10/00 (US) 
H04B3/32 (EP,US)";2021-04-01;2021-04-01;075161447
153;Controlled-Phase Quantum Logic Gate;"BLAIS ALEXANDRE [CA] 
ROYER BAPTISTE [CA] 
GRIMSMO ARNE LOEHRE [CA]";SOCPRA SCIENCES ET GENIE SEC [CA];"US10635989B2 
US2019005403A1";2016-03-09;"G06N99/00 
G11C11/44 
H01L39/02 
H01L39/22 
G06N10/00";"G06N10/00 (EP,US) 
G11C11/44 (EP,US) 
H01L39/025 (US) 
H01L39/223 (US)";"2019-01-03 
2020-04-28";2017-09-14;059786690
154;Oxygen doping of josephson junctions;"IL ICHEV EVGENI [DE] 
IJSSELSTEIJN ROBBERT P J [DE] 
STEININGER MILES F H [CA]";;US2003102470A1;2001-08-30;"H01L29/06 
H01L31/0256 
H01L39/22 
H01L39/24";H01L39/2496 (EP);2003-06-05;2003-03-06;023228796
155;FIBER-BASED BROADBAND POLARIZATION-ENTANGLED PHOTON SOURCE;"QIAN LI [CA] 
CHEN CHANGJIA [CN] 
RIAZI ARASH [IR] 
ZHU ERIC Y [CA]";OZ OPTICS LTD [CA];CA3012946A1;2018-07-31;"B82Y20/00 
G02B6/024 
G02F1/35 
H01S5/00";"G02F1/3501 (EP,US) 
G02F1/3526 (EP,US) 
G02F1/365 (EP,US) 
G02F1/39 (EP) 
G02F1/3503 (EP,US)";2020-01-31;2020-01-31;069229700
156;Generating a lattice basis for lattice-based cryptography;"KELLY SHANE DANIEL [CA] 
PAWLEGA FILIP KOSTIS [CA] 
KALACH KASSEM [CA]";ISARA CORP [CA];US10097351B1;2016-09-15;"H04L9/08 
H04L9/14 
H04L9/16 
H04L9/30";"H04L9/0662 (EP,US) 
H04L9/0816 (US) 
H04L9/0838 (US) 
H04L9/0852 (EP,US) 
H04L9/0869 (US) 
H04L9/14 (US) 
H04L9/16 (US) 
H04L9/30 (US) 
H04L9/3093 (EP,US) 
H04L2209/24 (US)";2018-10-09;2018-10-09;063685150
157;Refreshing public parameters in lattice-based cryptographic protocols;KALACH KASSEM [CA];ISARA CORP [CA];US9673977B1;2016-09-15;"H04L29/06 
H04L9/08 
H04L9/14 
H04L9/16 
H04L9/28 
H04L9/30";"H04L9/0816 (US) 
H04L9/0838 (EP,US) 
H04L9/085 (US) 
H04L9/0852 (US) 
H04L9/0861 (US) 
H04L9/0869 (US) 
H04L9/14 (US) 
H04L9/16 (US) 
H04L9/30 (US) 
H04L9/304 (US) 
H04L9/3093 (EP,US) 
H04L2209/24 (US)";2017-06-06;2017-06-06;058776502
158;SYSTEMS AND METHODS FOR FABRICATING SUPERCONDUCTING INTEGRATED CIRCUITS;"VOLKMANN MARK [CA] 
MOLAVI REZA [CA] 
WHITTAKER JED [CA]";D WAVE SYSTEMS INC [CA];WO2021146028A1;2020-01-17;"H01L23/60 
H01L39/06 
H01L39/12 
H01L39/24";"H01L39/04 (EP) 
H01L39/223 (EP) 
H01L39/24 (EP) 
H01L39/2493 (EP) 
H01L27/18 (EP)";2021-07-22;2021-07-22;076864400
159;Systems, methods and apparatus for factoring numbers;"MACREADY WILLIAM G [CA] 
KUAN JOHNNY JONE W [CA] 
KUAN JOHNNY JONE WAI [CA]";DWAVE SYS INC [CA];"US2007080341A1 
US7844656B2";2005-07-11;"H01L39/22 
G06N99/00 
G06G7/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H04L9/0852 (EP,US) 
H04L2209/12 (EP,US)";"2007-04-12 
2010-11-30";2007-01-18;037636705
160;METHOD FOR REPRODUCIBLY FORMING A PREDETERMINED QUANTUM DOT STRUCTURE AND DEVICE PRODUCED USING SAME;"WILLIAMS ROBIN L [CA] 
AERS GEOFFREY C [CA] 
LACELLE CHARLES [CA] 
POOLE PHILIP [CA] 
FRASER JEFFREY W [CA] 
LEFEBVRE JACQUES [CA]";CA NAT RESEARCH COUNCIL [CA];CA2360057A1;2000-12-21;"H01L21/02 
H01L21/368 
C30B23/02 
H01L21/02 
H01L21/368 
H01L33/06 
H01L33/16 
H01S4/00 
H01S5/34";"B82Y10/00 (EP,US) 
B82Y20/00 (EP,US) 
C30B23/02 (EP,US) 
C30B29/605 (EP,US) 
H01L33/06 (EP,US) 
H01L33/16 (EP,US) 
H01S5/3412 (EP,US)";2002-06-21;2002-06-21;022974167
161;SYSTEMS AND METHODS FOR GENERATIVE MACHINE LEARNING;"ROLFE JASON TYLER [CA] 
KREIS KARSTEN J [CA]";D WAVE SYSTEMS INC [CA];US2019244680A1;2018-02-07;"G06N20/00 
G06N7/00 
G16B40/30 
G16H50/20";"G06N10/00 (EP) 
G06N20/00 (US) 
G06N3/0454 (EP) 
G06N3/0472 (EP) 
G06N3/08 (EP) 
G06N7/005 (EP,US) 
G16B20/00 (EP) 
G16B40/20 (EP) 
G16B40/30 (EP,US) 
G16H50/20 (EP,US) 
G16H50/70 (EP) 
G16B25/10 (EP)";2019-08-08;2019-08-08;067475740
