No;Title;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
36;MAGIC STATE DISTILLATION WITH LOW SPACE OVERHEAD AND ASYMPTOTIC INPUT COUNT;"HAAH JEONGWAN [US] 
WECKER DAVID [US] 
HASTINGS MATTHEW [US] 
POULIN DAVID [CA]";MICROSOFT TECHNOLOGY LICENSING LLC [US];"US10404287B2 
US2018269906A1";2017-03-20;"G06N99/00 
H03M13/00 
H03M13/29 
G06N10/00 
H03M13/03 
H03M13/13";"G06N10/00 (EP,US) 
H03M13/033 (EP,US) 
H03M13/13 (EP,US) 
H03M13/2906 (EP,US) 
H03M13/2909 (US) 
H03M13/611 (EP,US)";"2018-09-20 
2019-09-03";2018-09-20;063519664
37;AUTOMATED OPTIMIZATION OF LARGE-SCALE QUANTUM CIRCUITS WITH CONTINUOUS PARAMETERS;"NAM YUNSEONG [US] 
MASLOV DMITRI [US] 
CHILDS ANDREW [US] 
ROSS NEIL JULIEN [CA] 
SU YUAN [US]";"UNIV MARYLAND [US] 
IONQ INC [US]";"US10922457B2 
US2019121921A1";2017-10-19;"G06F17/50 
G06N99/00 
G06F30/327 
G06F30/39 
G06N10/00";"G06F30/327 (KR,US) 
G06F30/39 (KR,US) 
G06N10/00 (KR,US) 
G06N10/20 (EP) 
B82Y10/00 (KR)";"2019-04-25 
2021-02-16";2019-04-25;066169405
38;SCALABLE PHOTONIC QUANTUM COMPUTING WITH HYBRID RESOURCE STATES;"BOURASSA ELI [CA] 
TZITRIN ILAN [CA] 
SABAPATHY KRISHNAKUMAR [CA] 
DAUPHINAIS GUILLAUME [CA] 
DHAND ISH [CA] 
GUHA SAIKAT [US] 
MENICUCCI NICOLAS [AU] 
ALEXANDER RAFAEL [US] 
BARAGIOLA BEN [US] 
MATSUURA TAKAYA [JP] 
WALSHE BLAYNEY [AU]";XANADU QUANTUM TECH INC [CA];US2022101168A1;2020-09-29;"G06E1/00 
G06N10/00";"G06E1/00 (US) 
G06N10/00 (US)";2022-03-31;2022-03-31;080822614
39;Randomized Compiling for Quantum Computation;"WALLMAN JOEL J [CA] 
EMERSON JOSEPH [CA]";"WALLMAN JOEL J [CA] 
EMERSON JOSEPH [CA] 
QUANTUM BENCHMARK INC [CA]";"US10360088B2 
US2017308803A1";2015-11-20;"G06N99/00 
B82Y10/00 
G06F17/11 
G06F11/00 
G06N10/00 
H03K19/195";"G06F11/004 (US) 
G06F17/11 (US) 
G06N10/00 (EP,US) 
B82Y10/00 (EP,US) 
G06F2201/82 (US) 
H03K19/195 (EP,US)";"2017-10-26 
2019-07-23";2017-10-26;060090167
40;MAGNETIC VACUUM SYSTEMS AND DEVICES FOR USE WITH SUPERCONDUCTING-BASED COMPUTING SYSTEMS;"UCHAYKIN SERGEY V [CA] 
PETROFF JACOB CRAIG [CA] 
LAMONT GORDON [CA]";"DWAVE SYS INC [CA] 
UCHAYKIN SERGEY V [CA] 
PETROFF JACOB CRAIG [CA] 
LAMONT GORDON [CA]";"US2011009274A1 
US8355765B2";2008-01-31;"H01L39/02 
H01B12/00 
H05K9/00";H05K9/0077 (EP,US);"2011-01-13 
2013-01-15";2009-08-13;040952645
41;ARTIFICIAL INTELLIGENCE-DRIVEN QUANTUM COMPUTING;"RONAGH POOYA [CA] 
MATSUURA SHUNJI [CA] 
MILLS KYLE IAN [CA] 
PESAH ARTHUR CHALOM [CA]";1QB INF TECH INC [CA];WO2020113339A1;2018-12-06;"G06N10/00 
G06N20/00";"G06F15/16 (US) 
G06N10/00 (US) 
G06N10/60 (EP) 
G06N20/00 (US) 
G06N3/084 (EP) 
G06N5/003 (US) 
G06N10/70 (EP) 
G06N3/0445 (EP) 
G06N3/0472 (EP) 
G06N5/003 (EP) 
G06N7/005 (EP)";2020-06-11;2020-06-11;070974880
42;Quantum phase-charge coupled device;"BLAIS ALEXANDRE [CA] 
HILTON JEREMY P [CA]";DWAVE SYS INC [CA];US6605822B1;2002-03-16;"H01L29/06 
H01L39/02 
G06N99/00 
H01L27/18 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L27/18 (EP,US) 
H01L39/225 (EP,US) 
Y10S977/933 (EP,US)";2003-08-12;2003-08-12;027667999
43;METHODS AND SYSTEMS FOR QUANTUM READY AND QUANTUM ENABLED COMPUTATIONS;"DADASHIKELAYEH MAJID [CA] 
ZARIBAFIYAN ARMAN [CA]";1QB INF TECH INC [CA];"US2017357539A1 
US9870273B2";2016-06-13;"G06F21/44 
G06F9/50 
G06N3/00 
G06N99/00 
H04L29/08";"G06F16/25 (EP,US) 
G06F16/951 (EP,US) 
G06F21/44 (US) 
G06F9/4806 (US) 
G06F9/5044 (EP) 
G06F9/5066 (EP) 
G06F9/5083 (US) 
G06F9/54 (US) 
G06N10/00 (EP,US) 
G06N3/006 (US) 
G06N5/003 (EP,US) 
H04L41/046 (US) 
H04L63/20 (EP,US) 
H04L67/565 (EP,US) 
G06N5/043 (EP,US) 
H04L63/08 (EP,US) 
H04L67/10 (EP,US)";"2017-12-14 
2018-01-16";2017-12-14;060572664
44;ERROR REDUCTION AND, OR, CORRECTION IN ANALOG COMPUTING INCLUDING QUANTUM PROCESSOR-BASED COMPUTING;"BUNYK PAUL I [CA] 
KING JAMES [CA] 
THOM MURRAY C [CA] 
AMIN MOHAMMAD H [CA] 
SMIRNOV ANATOLY YU [CA] 
YARKONI SHEIR [CA] 
LANTING TREVOR M [CA] 
KING ANDREW D [CA] 
BOOTHBY KELLY T R [CA]";D WAVE SYSTEMS INC [CA];"US11100418B2 
US2019266508A1";2018-02-28;"G06F11/07 
G06N10/00";"G06F11/0736 (US) 
G06F11/0751 (US) 
G06F11/0793 (US) 
G06N10/00 (EP,US) 
G06N5/003 (EP)";"2019-08-29 
2021-08-24";2019-08-29;067684616
45;Methods and systems for quantum ready computations on the cloud;"DADASHIKELAYEH MAJID [CA] 
SZETO LESTER [CA]";1QB INF TECH INC [CA];US9537953B1;2016-06-13;"G06F9/54 
G06N99/00 
H04L12/26 
H04L12/911 
H04L29/08";"G06F16/951 (EP,US) 
G06F9/4806 (US) 
G06F9/4843 (EP,US) 
G06F9/54 (US) 
G06N10/00 (EP,US) 
H04L41/046 (US) 
H04L47/82 (US) 
H04L63/20 (EP,US) 
H04L67/565 (EP,US) 
H04L63/08 (EP,US)";2017-01-03;2017-01-03;057682229
46;MONOLITHIC QUBIT INTEGRATED CIRCUITS;"VOINIGESCU SORIN PETRE [CA] 
ALAKUSU UTKU [CA] 
BONEN SHAI [CA] 
GONG MING-JIA MECCA [CA] 
WU LUCY [CA]";GOVERNING COUNCIL UNIV TORONTO [CA];"US11171225B2 
US2020185512A1";2018-12-05;"G06N10/00 
H01L27/06 
H01L29/66";"B82Y10/00 (EP) 
G06N10/00 (EP,US) 
H01L27/0629 (US) 
H01L27/1203 (EP) 
H01L29/423 (EP) 
H01L29/66977 (EP,US) 
H01L29/66984 (US) 
H01L29/7613 (EP) 
H01L29/78648 (EP) 
H01L21/823437 (EP) 
H01L29/0692 (EP)";"2020-06-11 
2021-11-09";2020-06-11;070971201
47;PHASE SHIFT DEVICE IN SUPERCONDUCTOR LOGIC;"OMELYANCHOUK ALEXANDER N [UA] 
AMIN MOHAMMAD H [CA] 
ZAGOSKIN ALEXANDRE M [CA] 
HILTON JEREMY P [CA] 
ROSE GEORDIE [CA] 
DUTY TIMOTHY LEE [CA]";DWAVE SYS INC [CA];CA2432705A1;2000-12-22;"G06N1/00 
H01L39/22 
G06N99/00 
H01L39/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L39/22 (EP,US) 
H01L39/223 (EP,US) 
H01L39/225 (EP,US) 
H01L39/228 (EP,US)";2002-09-06;2002-09-06;026946085
48;Adiabatic quantum computation with superconducting qubits;"AMIN MOHAMMAD H [CA] 
GRAJCAR MIROSLAV [SK] 
IZMALKOV ANDREI A [DE] 
IL ICHEV EVGENI [DE] 
STEININGER MILES F [CA] 
AMIN MOHAMMAD H S [CA]";DWAVE SYS INC [CA];"US2005256007A1 
US7418283B2";2004-03-29;"H01G2/00 
H03K19/195 
G06N99/00 
H01G2/00 
H01L29/06 
H01L39/22 
H03K19/195";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2005-11-17 
2008-08-26";2005-10-06;035056395
49;DISTRIBUTIVE NETWORKS OF GROUPS OF MOVEABLE AUTONOMOUS DEVICES;SHIH JEANNE LOUISE JLS [CA];SHIH JEANNE LOUISE JLS [CA];CA2961337A1;2017-03-05;G06N10/00;;2018-09-05;2018-09-05;063447007
50;Conditional Rabi oscillation readout for quantum computing;"HILTON JEREMY P [CA] 
ROSE GEORDIE [CA] 
WILSON BROCK [CA] 
SMIRNOV ANATOLY YU [CA]";DWAVE SYS INC [CA];"US2005001209A1 
US7230266B2";2003-05-15;"H01L29/06 
G06N99/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
Y10S977/933 (EP,US)";"2005-01-06 
2007-06-12";2004-11-25;033457210
51;SYSTEMS AND METHODS FOR SCALABLE QUANTUM COMPUTING;HARRIS RICHARD [CA];D WAVE SYSTEMS INC [CA];WO2021195368A1;2020-03-27;"G06N10/00 
B82Y10/00";"G06N10/40 (EP) 
H01L39/223 (EP) 
B82Y10/00 (EP)";2021-09-30;2021-09-30;077892323
